measurement,E_ab,E_abp,E_apb,E_apbp,S,backend,job_ab,job_abp,job_apb,job_apbp
1,0.6796875,0.6533203125,0.6220703125,-0.6669921875,2.6220703125,ibm_marrakesh,d8c5fbr8ch0s738ubl40,d8c5gfijki0s73aqo7t0,d8c5glj8ch0s738ubmog,d8c5grk7avuc73dqfkrg
2,0.716796875,0.6513671875,0.6640625,-0.71484375,2.7470703125,ibm_marrakesh,d8c5h438amns73bj181g,d8c5hcb8amns73bj18cg,d8c5hkb8ch0s738ubo60,d8c5hm38amns73bj18pg
3,0.685546875,0.638671875,0.662109375,-0.673828125,2.66015625,ibm_marrakesh,d8c5ie38ch0s738ubp20,d8c5ig2jki0s73aqoa9g,d8c5ihijki0s73aqoacg,d8c5ijajki0s73aqoafg
4,0.6826171875,0.65234375,0.6953125,-0.7138671875,2.744140625,ibm_marrakesh,d8c5il38amns73bj19ug,d8c5in2jki0s73aqoak0,d8c5ior8ch0s738ubpfg,d8c5iqijki0s73aqoao0
5,0.669921875,0.662109375,0.6796875,-0.7255859375,2.7373046875,ibm_marrakesh,d8c5isj8ch0s738ubpkg,d8c5iub8amns73bj1a9g,d8c5j047avuc73dqfngg,d8c5j2c7avuc73dqfnj0
6,0.705078125,0.646484375,0.6513671875,-0.7060546875,2.708984375,ibm_marrakesh,d8c5j3qjki0s73aqob40,d8c5j5j8ch0s738ubq0g,d8c5j7ijki0s73aqob80,d8c5j9c7avuc73dqfns0
7,0.689453125,0.6552734375,0.6611328125,-0.705078125,2.7109375,ibm_marrakesh,d8c5jb38amns73bj1as0,d8c5jcr8amns73bj1b0g,d8c5jes7avuc73dqfo90,d8c5jgk7avuc73dqfoc0
8,0.7080078125,0.6240234375,0.6767578125,-0.70703125,2.7158203125,ibm_marrakesh,d8c5jib8amns73bj1bag,d8c5jk2jki0s73aqobqg,d8c5jlr8ch0s738ubqo0,d8c5jnijki0s73aqobug
9,0.7041015625,0.650390625,0.654296875,-0.7138671875,2.72265625,ibm_marrakesh,d8c5jpc7avuc73dqfomg,d8c5jr38amns73bj1bk0,d8c5jss7avuc73dqfou0,d8c5jur8ch0s738ubr20
10,0.677734375,0.6298828125,0.630859375,-0.7080078125,2.646484375,ibm_marrakesh,d8c5k0k7avuc73dqfp30,d8c5k2c7avuc73dqfp5g,d8c5k438ch0s738ubr8g,d8c5k5qjki0s73aqocd0
